Manga series,Author(s),Publisher,Demographic,No. of collected volumes,Serialized,Approximate sales in million(s),Average sales per volume in million(s)
One Piece,Eiichiro Oda,Shueisha,Shōnen,104,1997–present,516.6,4.97
Golgo 13,"Takao Saito, Saito Production",Shogakukan,Seinen,207,1968–present,300,1.45
Case Closed / Detective Conan,Gosho Aoyama,Shogakukan,Shōnen,102,1994–present,270,2.65
Dragon Ball,Akira Toriyama,Shueisha,Shōnen,42,1984–1995,260,6.19
Doraemon,Fujiko F. Fujio,Shogakukan,Children,45,1969–1996,250,4.71
Naruto,Masashi Kishimoto,Shueisha,Shōnen,72,1999–2014,250,3.47
Slam Dunk,Takehiko Inoue,Shueisha,Shōnen,31,1990–1996,170,5.48
KochiKame: Tokyo Beat Cops,Osamu Akimoto,Shueisha,Shōnen,201,1976–2016,156.5,0.78
Demon Slayer: Kimetsu no Yaiba,Koyoharu Gotouge,Shueisha,Shōnen,23,2016–2020,150,6.52
Oishinbo,"Tetsu Kariya, Akira Hanasaki",Shogakukan,Seinen,111,1983–2014 (on hiatus),135,1.22
Bleach,Tite Kubo,Shueisha,Shōnen,74,2001–2016,130,1.75
JoJo's Bizarre Adventure,Hirohiko Araki,Shueisha,Shōnen/Seinen,131,1987–present,120,0.92
Attack on Titan,Hajime Isayama,Kodansha,Shōnen,34,2009–2021,110,3.23
Astro Boy,Osamu Tezuka,Kobunsha,Shōnen,23,1952–1968,100,4.35
Fist of the North Star,"Buronson, Tetsuo Hara",Shueisha,Shōnen,27,1983–1988,100,3.7
Hajime no Ippo,George Morikawa,Kodansha,Shōnen,134,1989–present,100,0.74
The Kindaichi Case Files,"Yōzaburō Kanari, Seimaru Amagi, Fumiya Satō",Kodansha,Shōnen/Seinen,90,1992–present,100,1.11
Touch,Mitsuru Adachi,Shogakukan,Shōnen,26,1981–1986,100,3.85
Kingdom,Yasuhisa Hara,Shueisha,Seinen,68,2006–present,97,1.42
Captain Tsubasa,Yōichi Takahashi,Shueisha,Shōnen/Seinen,108,1981–present,90,0.83
Sazae-san,Machiko Hasegawa,Kodansha,—,45,1946–1974,86,1.91
Baki the Grappler,Keisuke Itagaki,Akita Shoten,Shōnen,143,1991–present,85,0.59
My Hero Academia,Kōhei Horikoshi,Shueisha,Shōnen,37,2014–present,85,2.29
Hunter × Hunter,Yoshihiro Togashi,Shueisha,Shōnen,37,1998–present (on hiatus),84,2.33
Vagabond,Takehiko Inoue,Kodansha,Seinen,37,1998–2015 (on hiatus),82,2.21
Fullmetal Alchemist,Hiromu Arakawa,"Enix (2001–2003), Square Enix (2003–2010)",Shōnen,27,2001–2010,80,2.96
Sangokushi,Mitsuteru Yokoyama,Ushio Shuppansha,Shōnen,60,1971–1986,80,1.33
YuYu Hakusho,Yoshihiro Togashi,Shueisha,Shōnen,19,1990–1994,78,4.1
Kinnikuman,Yudetamago,Shueisha,Shōnen/Seinen,80,"1979–1987, 2011–present",77,0.96
Fairy Tail,Hiro Mashima,Kodansha,Shōnen,63,2006–2017,72,1.14
Rurouni Kenshin,Nobuhiro Watsuki,Shueisha,Shōnen,28,1994–1999,72,2.57
Jujutsu Kaisen,Gege Akutami,Shueisha,Shōnen,22,2018–present,70,3.18
Tokyo Revengers,Ken Wakui,Kodansha,Shōnen,31,2017–2022,70,2.26
Boys Over Flowers,Yoko Kamio,Shueisha,Shōjo,37,1992–2003,61,1.64
Major,Takuya Mitsuda,Shogakukan,Shōnen,101,1994–present,60.5,0.59
The Prince of Tennis,Takeshi Konomi,Shueisha,Shōnen,42,1999–2008,60,1.42
Rokudenashi Blues,Masanori Morita,Shueisha,Shōnen,42,1988–1997,60,1.42
Crayon Shin-chan,"Yoshito Usui, UY Team",Futabasha,Seinen,61,1990–present,58,0.95
Initial D,Shuichi Shigeno,Kodansha,Seinen,48,1995–2013,56,1.16
Gintama,Hideaki Sorachi,Shueisha,Shōnen,77,2003–2019,55.5,0.72
Bad Boys,Hiroshi Tanaka,Shōnen Gahōsha,Seinen,22,1988–1996,55,2.5
Berserk,"Kentaro Miura, Kōji Mori, Studio Gaga",Hakusensha,Seinen,41,1989–present,55,1.34
H2,Mitsuru Adachi,Shogakukan,Shōnen,34,1992–1999,55,1.61
Haikyu!!,Haruichi Furudate,Shueisha,Shōnen,45,2012–2020,55,1.22
Ranma ½,Rumiko Takahashi,Shogakukan,Shōnen,38,1987–1996,55,1.44
Minami no Teiō,"Dai Tennōji, Rikiya Gō",Nihon Bungeisha,Shōnen,159,1992–present,53,0.33
Super Radical Gag Family,Kenji Hamaoka,Akita Shoten,Shōnen,101,1993–present,51,0.5
Black Jack,Osamu Tezuka,Akita Shoten,Shōnen,25,1973–1983,50,2
City Hunter,Tsukasa Hojo,Shueisha,Shōnen,35,1985–1991,50,1.42
Cobra,Buichi Terasawa,Shueisha,Shōnen,18,1978–1984,50,2.77
Devilman,Go Nagai,Kodansha,Shōnen,5,1972–1973,50,10
Dragon Quest: The Adventure of Dai,"Riku Sanjo, Koji Inada",Shueisha,Shōnen,37,1989–1996,50,1.35
Fisherman Sanpei,Takao Yaguchi,Kodansha,Shōnen,65,1973–1983,50,0.76
Glass Mask,Suzue Miuchi,Hakusensha,Shōjo,49,1976–2012 (on hiatus),50,1.02
Great Teacher Onizuka,Tooru Fujisawa,Kodansha,Shōnen,25,1997–2002,50,2
Inuyasha,Rumiko Takahashi,Shogakukan,Shōnen,56,1996–2008,50,0.89
Nana,Ai Yazawa,Shueisha,Shōjo,21,2000–2009 (on hiatus),50,2.38
Saint Seiya,Masami Kurumada,Shueisha,Shōnen,28,1986–1990,50,1.78
Shoot!,Tsukasa Ōshima,Kodansha,Shōnen,33,1990–2003,50,1.51
Dokaben,Shinji Mizushima,Akita Shoten,Shōnen,48,1972–1981,48,1
Kosaku Shima,Kenshi Hirokane,Kodansha,Seinen,106,1983–present,47,0.44
Tokyo Ghoul,Sui Ishida,Shueisha,Seinen,30,2011–2018,47,1.56
Crows,Hiroshi Takahashi,Akita Shoten,Shōnen,26,1990–1998,46,1.76
Sailor Moon,Naoko Takeuchi,Kodansha,Shōjo,18,1991–1997,46,2.55
Shizukanaru Don – Yakuza Side Story,Tatsuo Nitta,Jitsugyo no Nihon Sha,Seinen,108,1988–2013,46,0.42
Dear Boys,Hiroki Yagami,Kodansha,Shōnen,81,1989–present,45,0.55
Shonan Junai Gumi,Tooru Fujisawa,Kodansha,Shōnen,31,1990–1996,45,1.45
The Promised Neverland,"Kaiu Shirai, Posuka Demizu",Shueisha,Shōnen,20,2016–2020,41,2.05
Ace of Diamond,Yuji Terajima,Kodansha,Shōnen,78,2006–2022,40,0.56
Be-Bop High School,Kazuhiro Kiuchi,Kodansha,Seinen,48,1983–2003,40,0.83
Cooking Papa,Tochi Ueyama,Kodansha,Seinen,163,1985–present,40,0.24
Crest of the Royal Family,Chieko Hosokawa,Akita Shoten,Shōjo,68,1976–present,40,0.58
Kyō Kara Ore Wa!!,Hiroyuki Nishimori,Shogakukan,Shōnen,38,1988–1997,40,1.05
That Time I Got Reincarnated as a Slime,"Fuse, Taiki Kawakami",Kodansha,Shōnen,22,2015–present,40,1.81
Yu-Gi-Oh!,Kazuki Takahashi,Shueisha,Shōnen,38,1996–2004,40,1.05
Nodame Cantabile,Tomoko Ninomiya,Kodansha,Josei,23,2001–2009,39,1.69
Shaman King,Hiroyuki Takei,Shueisha/Kodansha,Shōnen,33,1998–2004,38,1.08
The Seven Deadly Sins,Nakaba Suzuki,Kodansha,Shōnen,41,2012–2020,38,0.92
20th Century Boys,Naoki Urasawa,Shogakukan,Seinen,22,1999–2006,36,1.63
The Chef,"Mai Tsurugina, Tadashi Katou",Nihon Bungeisha,Seinen,62,1986–2016 (on hiatus),35,0.56
Dr. Slump,Akira Toriyama,Shueisha,Shōnen,18,1980–1984,35,1.94
Itazura na Kiss,Kaoru Tada,Shueisha,Shōjo,23,1990–1999,35,1.52
Salary Man Kintaro,Hiroshi Motomiya,Shueisha,Seinen,45,1994–2016,35,0.77
Urusei Yatsura,Rumiko Takahashi,Shogakukan,Shōnen,34,1978–1987,35,1.02
Worst,Hiroshi Takahashi,Akita Shoten,Shōnen,33,2002–2013,35,1.06
3×3 Eyes,Yuzo Takada,Kodansha,Seinen,40,1987–2002,33.33,0.83
Kaze Densetsu: Bukkomi no Taku ,"Hiroto Saki, Juzo Tokoro",Kodansha,Shōnen/Seinen,41,1991–2021,33,0.8
Kimi ni Todoke,Karuho Shiina,Shueisha,Shōjo,30,2005–2017,33,1.1
Chibi Maruko-chan,Momoko Sakura,Shueisha,Shōjo,17,1986–2018,32.5,1.91
Black Butler,Yana Toboso,Square Enix,Shōnen,32,2006–present,32,1
The Silent Service,Kaiji Kawaguchi,Kodansha,Seinen,32,1988–1996,32,1
A Certain Magical Index,Kazuma Kamachi,Square Enix,Shōnen,105,2007–present,31,0.29
Kuroko's Basketball,Tadatoshi Fujimaki,Shueisha,Shōnen,30,2008–2014,31,1.03
Space Brothers,Chūya Koyama,Kodansha,Seinen,42,2007–present,31,0.73
Bastard‼,Kazushi Hagiwara,Shueisha,Shōnen/Seinen,27,1988–2012 (on hiatus),30,1.11
Chameleon,Atsushi Kase,Kodansha,Shōnen,47,1990–1999,30,0.63
Death Note,"Tsugumi Ohba, Takeshi Obata",Shueisha,Shōnen,12,2003–2006,30,2.5
Fruits Basket,Natsuki Takaya,Hakusensha,Shōjo,23,1998–2006,30,1.3
Gaki Deka ,Tatsuhiko Yamagami,Akita Shoten,Shōnen,26,1974–1980,30,1.15
Jarinko Chie,Etsumi Haruki,Futabasha,Seinen,67,1978–1997,30,0.44
Jingi ,Tachihara Ayumi,Akita Shoten,Seinen,81,1988–2019,30,0.37
One-Punch Man,"One, Yusuke Murata",Shueisha,Seinen,26,2012–present,30,1.15
Reborn!,Akira Amano,Shueisha,Shōnen,42,2004–2012,30,0.71
Shura no Mon,Masatoshi Kawahara,Kodansha,Shōnen,31,1987–1996,30,0.96
Spy × Family,Tatsuya Endo,Shueisha,Shōnen,11,2019–present,30,2.73
Tokimeki Tonight,Koi Ikeno,Shueisha,Shōjo,30,1982–1994,30,1
Ushio and Tora,Kazuhiro Fujita,Shogakukan,Shōnen,33,1990–1996,30,0.9
Yawara!,Naoki Urasawa,Shogakukan,Seinen,29,1986–1993,30,1.03
Futari Ecchi,Katsu Aki,Hakusensha,Seinen,87,1997–present,29.5,0.34
Shonan Bakusozoku ,Satoshi Yoshida,Shōnen Gahōsha,Seinen,16,1982–1988,29,1.81
Asari-chan,Mayumi Muroyama,Shogakukan,Shōjo,100,1978–2014,28,0.28
Chihayafuru,Yuki Suetsugu,Kodansha,Josei,50,2007–2022,28,0.56
Pokémon Adventures,"Hidenori Kusaka, Mato, Satoshi Yamamoto",Shogakukan,Children,59,1997–present,28,0.47
Yowamushi Pedal,Wataru Watanabe,Akita Shoten,Shōnen,80,2008–present,28,0.35
Sakigake!! Otokojuku,Akira Miyashita,Shueisha,Shōnen,34,1985–1991,27,0.79
Seito Shokun!,Yoko Shoji,Kodansha,Shōjo/Josei,83,1977–2019,27,0.33
Yūkan Club,Yukari Ichijo,Shueisha,Shōjo,19,1982–2002,27,1.42
Bari Bari Densetsu,Shuichi Shigeno,Kodansha,Shōnen,38,1983–1991,26,0.68
Blue Lock,"Muneyuki Kaneshiro, Yusuke Nomura",Kodansha,Shōnen,24,2018–present,26,1.08
Tsuribaka Nisshi,"Jūzō Yamasaki, Kenichi Kitami",Shogakukan,Seinen,106,1979–present,26,0.24
Angel Heart,Tsukasa Hojo,"Shinchosha, Tokuma Shoten",Seinen,54,2001–2017,25,0.46
Ashita no Joe,"Ikki Kajiwara, Tetsuya Chiba",Kodansha,Shōnen,20,1968–1973,25,1.25
Assassination Classroom,Yūsei Matsui,Shueisha,Shōnen,21,2012–2016,25,1.19
Blue Exorcist,Kazue Kato,Shueisha,Shōnen,28,2009–present,25,0.89
Boys Be...,"Masahiro Itabashi, Hiroyuki Tamakoshi",Kodansha,Shōnen,32,1991–1997,25,0.78
D.Gray-man,Katsura Hoshino,Shueisha,Shōnen,28,2004–present,25,0.89
Emblem Take 2 ,"Kazumasa Kiuchi, Jun Watanabe",Kodansha,Seinen,62,1990–2004,25,0.4
Flame of Recca,Nobuyuki Anzai,Shogakukan,Shōnen,33,1995–2002,25,0.75
Hikaru no Go,"Yumi Hotta, Takeshi Obata",Shueisha,Shōnen,23,1998–2003,25,1.08
Jigoku Sensei Nūbē,"Shō Makura, Takeshi Okano",Shueisha,Shōnen,31,1993–1999,25,0.81
Magi: The Labyrinth of Magic,Shinobu Ohtaka,Shogakukan,Shōnen,37,2009–2017,25,0.67
Maison Ikkoku,Rumiko Takahashi,Shogakukan,Seinen,15,1980–1987,25,1.66
Miyuki,Mitsuru Adachi,Shogakukan,Shōnen,12,1980–1984,25,2.08
Neon Genesis Evangelion,Yoshiyuki Sadamoto,Kadokawa Shoten,Shōnen,14,1994–2013,25,1.78
Oh My Goddess!,Kōsuke Fujishima,Kodansha,Seinen,48,1988–2014,25,0.52
Patalliro!,Mineo Maya,Hakusensha,Shōjo,101,1979–present,25,0.24
Parasyte,Hitoshi Iwaaki,Kodansha,Seinen,10,1988–1995,25,2.5
The Ping Pong Club,Minoru Furuya,Kodansha,Seinen,13,1993–1996,25,1.92
Saiyuki,Kazuya Minekura,"Square Enix, Ichijinsha",Shōnen/shōjo/Josei,27,1997–present,25,1.08
Toriko,Mitsutoshi Shimabukuro,Shueisha,Shōnen,43,2008–2016,25,0.58
Ahiru no Sora,Hinata Takeshi,Kodansha,Shōnen,51,2004–2019 (on hiatus),24,0.47
Chainsaw Man,Tatsuki Fujimoto,Shueisha,Shōnen,14,2018–present,24,1.71
Gantz,Hiroya Oku,Shueisha,Seinen,37,2000–2013,24,0.64
Golden Kamuy,Satoru Noda,Shueisha,Seinen,31,2014–2022,24,0.77
Zatch Bell!,Makoto Raiku,Shogakukan,Shōnen,33,2001–2007,23.8,0.72
Rave Master,Hiro Mashima,Kodansha,Shōnen,35,1999–2005,23.5,0.67
Himitsu Series ,"Yasuko Uchiyama, Tokuo Yokota, Terumi Fujiki, Yoshitari Iizuka",Gakken,Children,116,1972–2014,23,0.19
The Rose of Versailles,Riyoko Ikeda,Shueisha,Shōjo,10,1972–1973,23,2.3
Abu-san,Shinji Mizushima,Shogakukan,Seinen,107,1973–2014,22,0.2
Cardcaptor Sakura,Clamp,Kodansha,Shōjo,24,1996–present,22,0.91
Hoshin Engi,Ryu Fujisaki,Shueisha,Shōnen,23,1996–2000,22,0.95
Kaguya-sama: Love Is War,Aka Akasaka,Shueisha,Seinen,28,2015–2022,22,0.79
Terra Formars,"Yū Sasuga, Kenichi Tachibana",Shueisha,Seinen,22,2011–2018 (on hiatus),22,1
Dōbutsu no Oisha-san,Noriko Sasaki,Hakusensha,Shōjo,12,1987–1993,21.6,1.8
Kaiji,Nobuyuki Fukumoto,Kodansha,Seinen,79,1996–present,21.5,0.28
Rookies,Masanori Morita,Shueisha,Shōnen,24,1998–2003,21,0.87
Tsubasa: Reservoir Chronicle,Clamp,Kodansha,Shōnen,28,2003–2009,21,0.71
Ushijima the Loan Shark,Shohei Manabe,Shogakukan,Seinen,46,2004–2019,21,0.45
Dragon Quest Retsuden: Roto no Monshō,"Chiaki Kawamata, Junji Koyanagi, Kamui Fujiwara",Enix,Shōnen,21,1991–1997,20.9,0.99
Shōnen Shōjo Nippon no Rekishi ,"Kōta Kodama, Arakawa Shoji",Shogakukan,Children,24,1981–2018,20.2,0.84
750 Rider,Isami Ishii,Akita Shoten,Shōnen,50,1975–1985,20,0.4
Buddha,Osamu Tezuka,Ushio Shuppan,Seinen,14,1972–1983,20,1.42
Cat's Eye,Tsukasa Hojo,Shueisha,Shōnen,18,1981–1984,20,1.11
Cuffs - Kizu Darake no Chizu ,Jin Tojo,Shueisha,Seinen,32,1997–2005,20,0.63
Eyeshield 21,"Riichiro Inagaki, Yusuke Murata",Shueisha,Shōnen,37,2002–2009,20,0.54
The Fable,Katsuhisa Minami,Kodansha,Seinen,26,2014–present,20,1.53
Fire Force,Atsushi Ohkubo,Kodansha,Shōnen,34,2015–2022,20,0.58
Food Wars!: Shokugeki no Soma,"Yūto Tsukuda, Shun Saeki",Shueisha,Shōnen,36,2012–2019,20,0.55
Fushigi Yûgi,Yuu Watase,Shogakukan,Shōjo,18,1991–1996,20,1.11
Giant Killing,"Masaya Tsunamoto, Tsujitomo",Kodansha,Seinen,61,2007–present,20,0.32
Haruhi Suzumiya,"Makoto Mizuno, Gaku Tsugano, Puyo, Eretto",Kadokawa Shoten,Shōnen,57,2004–2018,20,0.35
Hayate the Combat Butler,Kenjiro Hata,Shogakukan,Shōnen,52,2004–2017,20,0.38
Kimagure Orange Road,Izumi Matsumoto,Shueisha,Shōnen,18,1984–1987,20,1.11
Tasogare Ryūseigun ,Kenshi Hirokane,Shogakukan,Seinen,64,1995–present,20,0.31
Love Hina,Ken Akamatsu,Kodansha,Shōnen,14,1998–2001,20,1.42
Master Keaton,"Naoki Urasawa, Hokusei Katsushika, Takashi Nagasaki",Shogakukan,Seinen,18,1988–1994,20,1.11
Monster,Naoki Urasawa,Shogakukan,Seinen,18,1994–2001,20,1.11
Negima! Magister Negi Magi,Ken Akamatsu,Kodansha,Shōnen,38,2003–2012,20,0.52
Peacock King,Makoto Ogino,Shueisha/Shogakukan/Leed,Seinen,55,1985–2019,20,0.36
The Quintessential Quintuplets,Negi Haruba,Kodansha,Shōnen,14,2017–2020,20,1.42
Red River,Chie Shinohara,Shogakukan,Shōjo,28,1995–2002,20,0.71
Shōnen Ashibe,Hiromi Morishita,Shueisha,Seinen,8,1988–1994,20,2.5
Sukeban Deka,Shinji Wada,Hakusensha,Shōjo,22,1976–1982,20,0.9
Swan,Kyoko Ariyoshi,Shueisha,Shōjo,21,1976–1981,20,0.95
The Tale of Genji,Waki Yamato,Kodansha,Shōjo,13,1980–1993,20,1.53
Tokyo Daigaku Monogatari,Tatsuya Egawa,Shogakukan,Seinen,34,1992–2001,20,0.58
Weed,Yoshihiro Takahashi,Nihon Bungeisha,Seinen,60,1999–2009,20,0.33
